Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company,Latitude
UGI,4/1/2021,41.25,10000,412500,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,5/3/2021,44.77999878,10000,447799.9878,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,7/15/2021,46.40999985,10000,464099.9985,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,8/9/2021,47.27999878,10000,472799.9878,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,9/2/2021,47.20999908,10000,472099.9908,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,10/19/2021,44.68000031,10000,446800.0031,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,12/14/2021,45.41999817,10000,454199.9817,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,1/25/2022,44.77999878,10000,447799.9878,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,2/16/2022,38.47000122,10000,384700.0122,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,3/16/2022,36.52999878,10000,365299.9878,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,4/11/2022,36.70000076,10000,367000.0076,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,7/15/2022,40.66999817,10000,406699.9817,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,8/8/2022,40.75999832,10000,407599.9832,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,9/14/2022,38.49000168,10000,384900.0168,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,10/19/2022,33.33000183,10000,333300.0183,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,11/9/2022,35.84000015,10000,358400.0015,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,12/16/2022,37.72999954,10000,377299.9954,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,1/27/2023,40.08000183,10000,400800.0183,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,2/8/2023,40.36999893,10000,403699.9893,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
UGI,3/9/2023,37.02000046,10000,370200.0046,0.722222222,"Fossil,GenderEquality",United States,UGI Corp,21.3099
SLOIF,4/14/2020,64.61000061,10000,646100.0061,0,GenderEquality,France,Soitec SA,48.8172
SLOIF,5/19/2020,64.61000061,10000,646100.0061,0,GenderEquality,France,Soitec SA,48.8172
SLOIF,6/10/2020,96.40000153,10000,964000.0153,0,GenderEquality,France,Soitec SA,48.8172
SLOIF,7/16/2020,103,10000,1030000,0,GenderEquality,France,Soitec SA,48.8172
SLOIF,8/11/2020,121,10000,1210000,0,GenderEquality,France,Soitec SA,48.8172
SLOIF,9/28/2020,121,10000,1210000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,11/11/2020,152,10000,1520000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,1/21/2021,211,10000,2110000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,3/3/2021,217,10000,2170000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,4/1/2021,193,10000,1930000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,5/3/2021,210.25,10000,2102500,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,7/15/2021,226.5299988,10000,2265299.988,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,8/9/2021,232,10000,2320000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,9/2/2021,242.1999969,10000,2421999.969,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,10/19/2021,205,10000,2050000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,12/14/2021,270,10000,2700000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,1/25/2022,181.8899994,10000,1818899.994,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,2/16/2022,172,10000,1720000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,3/16/2022,147.25,10000,1472500,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,4/11/2022,168.5,10000,1685000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,7/15/2022,162,10000,1620000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,8/8/2022,168.5,10000,1685000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,9/14/2022,145.25,10000,1452500,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,10/19/2022,116.75,10000,1167500,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,11/9/2022,116.75,10000,1167500,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,12/16/2022,168.5,10000,1685000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,1/27/2023,161.5,10000,1615000,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,2/8/2023,150.2599945,10000,1502599.945,0.396825397,GenderEquality,France,Soitec SA,48.8172
SLOIF,3/9/2023,148.3099976,10000,1483099.976,0.396825397,GenderEquality,France,Soitec SA,48.8172
GECFF,4/14/2020,137,10000,1370000,0.396825397,GenderEquality,France,Gecina Nom,48.8172
